"State","County","Year","Days with AQI","Good Days","Moderate Days","Unhealthy for Sensitive Groups Days","Unhealthy Days","Very Unhealthy Days","Hazardous Days","Max AQI","90th Percentile AQI","Median AQI","Days CO","Days NO2","Days Ozone","Days PM2.5","Days PM10"
"Nebraska","Hall",2024,323,248,75,0,0,0,0,80,56,32,0,0,0,323,0
"Nebraska","Knox",2024,327,300,26,1,0,0,0,108,49,36,0,0,327,0,0
"Nebraska","Lancaster",2024,283,237,46,0,0,0,0,82,54,41,0,0,203,80,0
"Nebraska","Sarpy",2024,348,244,103,1,0,0,0,110,58,37,0,0,0,348,0
"Nebraska","Scotts Bluff",2024,320,284,36,0,0,0,0,89,52,16,0,0,0,320,0
"Nebraska","Sioux",2024,319,254,57,8,0,0,0,143,67,44,0,0,319,0,0
"Nebraska","Thomas",2024,22,22,0,0,0,0,0,36,33,12,0,0,0,22,0
"Nebraska","Washington",2024,354,268,86,0,0,0,0,81,57,34,0,0,0,354,0
"Nevada","Carson City",2024,366,270,95,1,0,0,0,105,61,45,0,0,293,73,0
"Nevada","Churchill",2024,358,280,77,1,0,0,0,105,61,44,0,0,358,0,0
"Nevada","Clark",2024,366,90,236,39,1,0,0,170,101,64,0,0,251,102,13
"Nevada","Douglas",2024,342,308,34,0,0,0,0,76,50,22,0,0,0,342,0
"Nevada","Elko",2024,365,318,46,1,0,0,0,113,51,23,0,0,41,22,302
"Nevada","Lyon",2024,349,310,39,0,0,0,0,90,51,42,0,0,349,0,0
"Nevada","Nye",2024,366,319,44,2,0,1,0,247,52,31,0,0,0,0,366
"Nevada","Washoe",2024,366,188,174,4,0,0,0,119,77,50,0,2,281,83,0
"Nevada","White Pine",2024,362,269,91,2,0,0,0,105,64,44,0,0,359,3,0
"New Hampshire","Belknap",2024,365,311,54,0,0,0,0,78,53,35,0,0,168,197,0
"New Hampshire","Cheshire",2024,366,302,64,0,0,0,0,93,54,36,0,0,223,143,0
"New Hampshire","Coos",2024,365,296,69,0,0,0,0,90,58,44,1,0,361,3,0
"New Hampshire","Grafton",2024,366,334,32,0,0,0,0,80,49,35,0,0,279,87,0
"New Hampshire","Hillsborough",2024,366,328,38,0,0,0,0,97,51,37,0,0,324,42,0
"New Hampshire","Merrimack",2024,214,205,9,0,0,0,0,74,46,37,0,0,214,0,0
"New Hampshire","Rockingham",2024,366,306,59,1,0,0,0,122,56,38,0,0,280,86,0
"New Jersey","Atlantic",2024,366,302,64,0,0,0,0,97,54,35,0,0,213,153,0
"New Jersey","Bergen",2024,366,267,89,9,1,0,0,156,63,40,0,91,161,114,0
"New Jersey","Camden",2024,366,235,127,4,0,0,0,115,65,44,0,11,193,159,3
"New Jersey","Cumberland",2024,359,290,68,1,0,0,0,112,56,39,0,3,268,88,0
"New Jersey","Gloucester",2024,365,265,92,8,0,0,0,129,64,41,0,0,220,145,0
"New Jersey","Hudson",2024,366,261,102,2,1,0,0,151,64,41,0,88,136,142,0
"New Jersey","Hunterdon",2024,365,266,99,0,0,0,0,100,61,41,0,0,200,165,0
"New Jersey","Mercer",2024,366,246,115,5,0,0,0,133,71,43,0,0,210,156,0
"New Jersey","Middlesex",2024,365,286,74,5,0,0,0,136,58,36,0,24,244,97,0
"New Jersey","Monmouth",2024,264,240,23,1,0,0,0,119,50,37,0,0,264,0,0
"New Jersey","Morris",2024,366,305,59,2,0,0,0,108,58,37,0,6,297,63,0
"New Jersey","Ocean",2024,366,280,82,4,0,0,0,140,62,41,0,0,213,153,0
"New Jersey","Passaic",2024,366,269,95,2,0,0,0,119,61,38,0,0,176,190,0
"New Jersey","Union",2024,366,229,137,0,0,0,0,85,61,43,0,91,0,275,0
"New Jersey","Warren",2024,357,284,71,2,0,0,0,108,56,36,0,33,217,107,0
"New Mexico","Bernalillo",2024,366,100,233,26,4,1,2,443,100,61,0,2,212,82,70
"New Mexico","Catron",2024,196,175,21,0,0,0,0,80,54,39,0,0,109,87,0
"New Mexico","Chaves",2024,114,104,10,0,0,0,0,88,47,27,0,0,0,114,0
"New Mexico","Dona Ana",2024,366,97,237,19,6,3,4,692,97,62,0,3,174,98,91
"New Mexico","Eddy",2024,366,188,142,33,3,0,0,179,100,49,0,0,356,10,0
"New Mexico","Lea",2024,364,255,104,5,0,0,0,150,71,44,0,4,292,68,0
"New Mexico","Lincoln",2024,117,114,3,0,0,0,0,84,31,16,0,0,0,117,0
"New Mexico","Los Alamos",2024,116,116,0,0,0,0,0,41,27,14,0,0,0,116,0
"New Mexico","Luna",2024,365,341,20,3,1,0,0,153,39,17,0,0,0,0,365
"New Mexico","Rio Arriba",2024,359,252,104,3,0,0,0,108,74,45,0,0,356,3,0
"New Mexico","San Juan",2024,366,218,137,11,0,0,0,115,87,48,0,1,364,0,1
"New Mexico","Sandoval",2024,363,271,90,2,0,0,0,122,71,44,0,0,363,0,0
"New Mexico","Santa Fe",2024,363,259,103,1,0,0,0,101,71,45,0,0,355,8,0
"New Mexico","Socorro",2024,120,120,0,0,0,0,0,47,27,16,0,0,0,120,0
"New Mexico","Taos",2024,365,354,11,0,0,0,0,76,35,16,0,0,0,365,0
"New Mexico","Valencia",2024,358,300,56,2,0,0,0,105,64,43,0,0,358,0,0
"New York","Albany",2024,366,280,85,1,0,0,0,105,61,36,0,0,199,167,0
"New York","Bronx",2024,366,246,118,2,0,0,0,150,67,42,0,33,159,174,0
"New York","Chautauqua",2024,363,326,36,1,0,0,0,105,51,36,0,0,349,14,0
"New York","Dutchess",2024,366,338,23,4,1,0,0,151,47,35,0,0,366,0,0
"New York","Erie",2024,366,234,131,1,0,0,0,105,62,43,0,6,157,202,1
"New York","Essex",2024,366,310,56,0,0,0,0,80,57,41,0,0,334,32,0
"New York","Hamilton",2024,348,340,8,0,0,0,0,74,44,33,0,0,348,0,0
"New York","Jefferson",2024,363,352,11,0,0,0,0,80,44,32,0,0,363,0,0
"New York","Kings",2024,366,253,113,0,0,0,0,98,62,39,0,0,0,366,0
"New York","Monroe",2024,366,271,95,0,0,0,0,90,57,38,0,2,163,201,0
"New York","Nassau",2024,366,308,58,0,0,0,0,71,54,31,0,0,0,366,0
"New York","New York",2024,366,241,122,3,0,0,0,150,67,43,0,0,141,225,0
"New York","Niagara",2024,302,277,24,1,0,0,0,105,49,34,0,0,302,0,0
"New York","Oneida",2024,349,300,49,0,0,0,0,68,53,27,0,0,0,349,0
"New York","Onondaga",2024,365,317,48,0,0,0,0,84,53,35,0,0,256,109,0
"New York","Orange",2024,348,297,51,0,0,0,0,79,53,28,0,0,0,348,0
"New York","Oswego",2024,359,353,6,0,0,0,0,61,44,32,0,0,359,0,0
"New York","Putnam",2024,362,335,20,7,0,0,0,136,47,33,0,0,362,0,0
"New York","Queens",2024,366,224,140,2,0,0,0,112,68,45,0,26,130,210,0
"New York","Richmond",2024,366,280,83,3,0,0,0,140,59,38,0,0,151,215,0
"New York","Rockland",2024,366,308,53,5,0,0,0,150,54,37,0,0,270,96,0
"New York","Saratoga",2024,347,334,13,0,0,0,0,84,44,32,0,0,347,0,0
"New York","Steuben",2024,365,321,44,0,0,0,0,68,52,37,1,0,271,93,0
"New York","Suffolk",2024,366,291,69,6,0,0,0,133,60,38,0,5,291,70,0
"New York","Tompkins",2024,350,340,10,0,0,0,0,71,47,35,0,0,350,0,0
"New York","Wayne",2024,354,339,15,0,0,0,0,87,46,33,0,0,354,0,0
"New York","Westchester",2024,365,302,57,6,0,0,0,143,58,36,0,0,262,103,0
"North Carolina","Alexander",2024,245,213,32,0,0,0,0,93,51,41,0,0,245,0,0
"North Carolina","Avery",2024,245,222,23,0,0,0,0,90,50,38,0,0,192,53,0
"North Carolina","Buncombe",2024,365,245,120,0,0,0,0,81,60,43,0,0,109,256,0
"North Carolina","Caldwell",2024,237,221,16,0,0,0,0,87,49,40,0,0,237,0,0
"North Carolina","Carteret",2024,364,357,7,0,0,0,0,71,45,35,0,0,364,0,0
"North Carolina","Caswell",2024,244,225,19,0,0,0,0,84,49,38,0,0,244,0,0
"North Carolina","Catawba",2024,350,232,118,0,0,0,0,93,58,42,0,0,0,350,0
"North Carolina","Cumberland",2024,366,233,132,1,0,0,0,110,61,46,0,0,146,218,2
"North Carolina","Davidson",2024,359,229,130,0,0,0,0,89,59,43,0,0,0,359,0
"North Carolina","Durham",2024,366,170,196,0,0,0,0,97,61,51,0,0,66,299,1
"North Carolina","Edgecombe",2024,354,302,52,0,0,0,0,80,53,37,0,0,158,196,0
"North Carolina","Forsyth",2024,366,210,152,4,0,0,0,122,67,47,0,5,154,207,0
"North Carolina","Graham",2024,251,199,52,0,0,0,0,90,61,44,0,0,251,0,0
"North Carolina","Granville",2024,244,206,37,1,0,0,0,101,61,42,0,0,244,0,0
"North Carolina","Guilford",2024,366,249,116,1,0,0,0,122,59,44,0,0,145,210,11
"North Carolina","Haywood",2024,303,238,64,1,0,0,0,101,61,44,0,0,273,30,0
"North Carolina","Hyde",2024,94,89,5,0,0,0,0,60,46,24,0,0,0,94,0
"North Carolina","Johnston",2024,365,261,104,0,0,0,0,84,58,43,0,0,137,228,0
"North Carolina","Lenoir",2024,308,295,13,0,0,0,0,77,46,34,0,0,248,0,60
"North Carolina","Lincoln",2024,243,223,20,0,0,0,0,80,49,40,0,0,243,0,0
"North Carolina","Macon",2024,362,348,14,0,0,0,0,71,45,34,0,0,362,0,0
"North Carolina","Martin",2024,305,304,1,0,0,0,0,61,43,31,0,0,247,0,58
"North Carolina","Mecklenburg",2024,366,169,193,3,1,0,0,156,66,51,0,1,128,237,0
"North Carolina","Mitchell",2024,341,288,53,0,0,0,0,93,53,31,0,0,0,341,0
"North Carolina","Montgomery",2024,366,257,109,0,0,0,0,83,57,42,0,0,163,203,0
"North Carolina","New Hanover",2024,363,293,70,0,0,0,0,97,55,39,0,0,131,232,0
"North Carolina","Northampton",2024,366,289,77,0,0,0,0,82,55,32,0,15,0,351,0
"North Carolina","Person",2024,243,225,18,0,0,0,0,77,49,39,0,0,243,0,0
"North Carolina","Pitt",2024,352,302,50,0,0,0,0,74,53,37,0,0,176,176,0
"North Carolina","Rockingham",2024,244,205,39,0,0,0,0,100,61,43,0,0,244,0,0
"North Carolina","Rowan",2024,364,252,112,0,0,0,0,97,59,44,0,1,190,173,0
"North Carolina","Swain",2024,366,305,61,0,0,0,0,83,53,38,0,0,147,219,0
"North Carolina","Union",2024,245,212,33,0,0,0,0,97,54,41,0,0,245,0,0
"North Carolina","Wake",2024,366,226,139,1,0,0,0,112,60,46,0,0,143,223,0
"North Carolina","Yancey",2024,204,167,37,0,0,0,0,84,58,44,0,0,204,0,0
"North Dakota","Billings",2024,366,303,53,9,1,0,0,172,60,38,0,0,277,89,0
"North Dakota","Burke",2024,365,304,51,9,1,0,0,178,56,38,0,1,235,120,9
"North Dakota","Burleigh",2024,366,268,88,9,1,0,0,174,63,39,0,2,198,159,7
"North Dakota","Cass",2024,366,288,76,1,1,0,0,158,58,38,0,0,177,189,0
"North Dakota","Dunn",2024,365,304,53,5,3,0,0,157,61,37,0,0,253,108,4
"North Dakota","McKenzie",2024,366,300,58,6,2,0,0,172,61,39,0,0,269,97,0
"North Dakota","Mercer",2024,366,304,56,4,2,0,0,167,58,37,0,0,233,133,0
"North Dakota","Oliver",2024,366,299,60,5,2,0,0,162,61,38,0,0,240,126,0
"North Dakota","Ward",2024,366,298,59,7,2,0,0,152,59,37,0,0,216,150,0
"Ohio","Allen",2024,359,275,84,0,0,0,0,97,58,42,0,0,195,164,0
"Ohio","Ashtabula",2024,245,205,38,2,0,0,0,108,61,41,0,0,245,0,0
"Ohio","Athens",2024,364,330,34,0,0,0,0,64,49,28,0,0,0,364,0
"Ohio","Belmont",2024,366,289,77,0,0,0,0,77,55,32,0,94,0,250,22
"Ohio","Butler",2024,366,154,209,3,0,0,0,122,69,53,0,0,104,261,1
"Ohio","Clark",2024,363,239,121,3,0,0,0,133,63,45,0,0,144,219,0
"Ohio","Clermont",2024,360,305,52,3,0,0,0,119,54,39,0,0,234,126,0
"Ohio","Clinton",2024,240,176,60,4,0,0,0,112,67,44,0,0,240,0,0
"Ohio","Columbiana",2024,63,63,0,0,0,0,0,34,19,12,0,0,0,0,63
"Ohio","Cuyahoga",2024,366,136,224,6,0,0,0,122,77,54,2,2,105,242,15
"Ohio","Delaware",2024,242,200,41,1,0,0,0,105,61,42,0,0,242,0,0
"Ohio","Franklin",2024,366,151,211,4,0,0,0,118,72,53,0,1,99,245,21
"Ohio","Geauga",2024,240,196,43,1,0,0,0,101,64,41,0,0,240,0,0
"Ohio","Greene",2024,234,198,35,1,0,0,0,119,61,43,0,0,234,0,0
"Ohio","Hamilton",2024,366,164,191,11,0,0,0,140,71,52,0,8,124,234,0
"Ohio","Jefferson",2024,366,227,139,0,0,0,0,93,64,45,0,0,152,214,0
"Ohio","Knox",2024,245,208,36,1,0,0,0,101,54,41,0,0,245,0,0
"Ohio","Lake",2024,365,272,89,4,0,0,0,136,61,41,0,0,214,151,0
"Ohio","Lawrence",2024,366,264,102,0,0,0,0,99,58,43,0,0,160,205,1
"Ohio","Licking",2024,245,205,40,0,0,0,0,100,58,42,0,0,245,0,0
"Ohio","Lorain",2024,245,216,29,0,0,0,0,74,51,39,0,0,245,0,0
"Ohio","Lucas",2024,366,155,207,4,0,0,0,119,74,52,0,0,133,233,0
"Ohio","Madison",2024,245,203,42,0,0,0,0,100,61,44,0,0,245,0,0
"Ohio","Mahoning",2024,361,239,122,0,0,0,0,93,61,44,0,0,152,209,0
"Ohio","Medina",2024,366,236,130,0,0,0,0,100,63,44,0,0,171,195,0
"Ohio","Miami",2024,245,198,46,1,0,0,0,101,61,43,0,0,245,0,0
"Ohio","Montgomery",2024,364,225,135,4,0,0,0,147,64,47,0,0,162,201,1
"Ohio","Noble",2024,357,290,67,0,0,0,0,90,64,40,0,0,333,24,0
"Ohio","Portage",2024,245,187,56,2,0,0,0,108,67,43,0,0,245,0,0
"Ohio","Preble",2024,366,252,114,0,0,0,0,100,60,44,0,0,175,189,2
"Ohio","Scioto",2024,366,248,118,0,0,0,0,80,60,40,0,0,0,341,25
"Ohio","Stark",2024,366,192,174,0,0,0,0,93,67,48,0,0,116,250,0
"Ohio","Summit",2024,341,224,116,1,0,0,0,105,70,44,0,0,165,176,0
"Ohio","Trumbull",2024,366,226,140,0,0,0,0,97,64,45,0,0,143,223,0
"Ohio","Warren",2024,365,267,92,6,0,0,0,147,64,43,0,0,210,155,0
"Ohio","Washington",2024,244,212,32,0,0,0,0,90,54,41,0,0,244,0,0
"Ohio","Wood",2024,245,203,41,1,0,0,0,101,58,41,0,0,245,0,0
"Oklahoma","Adair",2024,366,209,153,4,0,0,0,138,64,47,0,0,129,237,0
"Oklahoma","Canadian",2024,269,204,57,8,0,0,0,119,77,44,0,0,269,0,0
"Oklahoma","Carter",2024,363,217,132,14,0,0,0,143,74,48,0,0,190,173,0
"Oklahoma","Cleveland",2024,359,177,173,9,0,0,0,126,74,51,0,0,184,175,0
"Oklahoma","Comanche",2024,362,242,113,6,0,0,1,339,77,43,0,0,194,168,0
"Oklahoma","Creek",2024,267,202,61,3,1,0,0,179,71,44,0,0,267,0,0
"Oklahoma","Dewey",2024,366,221,139,6,0,0,0,112,74,47,0,0,203,163,0
"Oklahoma","Grant",2024,111,92,19,0,0,0,0,86,54,32,0,0,0,111,0
"Oklahoma","Jefferson",2024,305,247,55,3,0,0,0,108,61,42,0,0,305,0,0
"Oklahoma","Johnston",2024,257,192,62,3,0,0,0,119,71,44,0,0,257,0,0
"Oklahoma","Kay",2024,356,223,128,4,1,0,0,193,61,42,0,0,0,356,0
"Oklahoma","Mayes",2024,290,261,28,1,0,0,0,112,51,40,0,0,290,0,0
"Oklahoma","McClain",2024,269,172,87,10,0,0,0,133,84,46,0,0,269,0,0
"Oklahoma","Oklahoma",2024,366,172,183,11,0,0,0,147,77,52,0,6,171,186,3
"Oklahoma","Osage",2024,290,223,62,5,0,0,0,112,67,44,0,0,290,0,0
"Oklahoma","Ottawa",2024,366,181,184,0,0,1,0,288,70,51,0,0,72,274,20
"Oklahoma","Pittsburg",2024,362,198,162,2,0,0,0,105,65,48,0,0,126,236,0
"Oklahoma","Pontotoc",2024,289,207,81,1,0,0,0,101,63,43,0,0,183,105,1
"Oklahoma","Sequoyah",2024,366,252,114,0,0,0,0,97,59,44,0,1,115,250,0
"Oklahoma","Tulsa",2024,366,177,181,8,0,0,0,140,74,51,0,0,185,176,5
"Oklahoma","Washington",2024,318,182,128,7,1,0,0,156,74,47,0,0,193,125,0
"Oregon","Baker",2024,366,279,84,1,2,0,0,155,63,28,0,0,0,366,0
"Oregon","Clackamas",2024,365,325,34,6,0,0,0,127,51,30,0,0,140,225,0
"Oregon","Columbia",2024,364,354,10,0,0,0,0,74,41,26,0,0,119,245,0
"Oregon","Crook",2024,366,282,76,5,3,0,0,173,64,24,0,0,0,366,0
"Oregon","Deschutes",2024,366,258,89,12,7,0,0,176,78,39,0,0,83,283,0
"Oregon","Grant",2024,366,189,158,5,13,1,0,204,74,49,0,0,0,366,0
"Oregon","Harney",2024,365,200,139,6,16,4,0,271,85,46,0,0,0,365,0
"Oregon","Jackson",2024,366,262,99,4,1,0,0,155,71,41,0,0,111,255,0
"Oregon","Jefferson",2024,366,289,76,1,0,0,0,142,59,26,0,0,0,366,0
"Oregon","Josephine",2024,366,284,74,8,0,0,0,146,60,29,0,0,0,366,0
"Oregon","Klamath",2024,366,259,91,9,6,1,0,207,76,33,0,0,0,366,0
"Oregon","Lake",2024,366,286,71,7,2,0,0,153,66,28,0,0,0,366,0
"Oregon","Lane",2024,366,219,131,10,5,1,0,216,80,44,0,0,79,287,0
"Oregon","Linn",2024,366,320,46,0,0,0,0,86,52,25,0,0,0,366,0
"Oregon","Marion",2024,366,298,64,4,0,0,0,129,56,35,0,0,137,229,0
"Oregon","Multnomah",2024,366,311,55,0,0,0,0,93,54,35,0,1,224,141,0
"Oregon","Umatilla",2024,366,272,90,4,0,0,0,117,63,38,0,0,122,244,0
"Oregon","Union",2024,366,303,61,2,0,0,0,128,59,23,0,0,0,365,1
"Oregon","Wallowa",2024,355,283,71,1,0,0,0,125,61,23,0,0,0,355,0
"Oregon","Wasco",2024,364,317,47,0,0,0,0,93,52,23,0,0,0,364,0
"Oregon","Washington",2024,366,309,55,2,0,0,0,105,53,33,0,2,183,181,0
"Pennsylvania","Adams",2024,366,231,132,3,0,0,0,131,67,44,1,0,228,137,0
"Pennsylvania","Allegheny",2024,366,175,182,9,0,0,0,129,77,52,0,0,165,201,0
"Pennsylvania","Armstrong",2024,365,275,89,1,0,0,0,108,59,41,0,0,225,140,0
"Pennsylvania","Beaver",2024,366,212,153,1,0,0,0,112,68,46,0,0,190,176,0
"Pennsylvania","Berks",2024,366,254,110,2,0,0,0,105,62,43,0,0,218,148,0
"Pennsylvania","Blair",2024,366,296,70,0,0,0,0,100,58,37,0,0,209,157,0
"Pennsylvania","Bradford",2024,363,298,65,0,0,0,0,75,54,37,0,0,206,157,0
"Pennsylvania","Bucks",2024,356,293,53,10,0,0,0,150,67,36,0,39,317,0,0
"Pennsylvania","Cambria",2024,365,269,96,0,0,0,0,87,59,42,1,0,173,191,0
"Pennsylvania","Centre",2024,366,287,79,0,0,0,0,97,58,40,0,1,270,95,0
"Pennsylvania","Chester",2024,363,264,96,3,0,0,0,143,61,41,0,0,218,145,0
"Pennsylvania","Cumberland",2024,358,260,98,0,0,0,0,93,58,36,0,0,0,358,0
"Pennsylvania","Dauphin",2024,366,206,158,2,0,0,0,105,70,48,0,0,151,215,0
"Pennsylvania","Delaware",2024,366,250,114,2,0,0,0,136,64,43,0,7,153,206,0
"Pennsylvania","Elk",2024,358,343,15,0,0,0,0,67,46,34,0,0,358,0,0
"Pennsylvania","Erie",2024,366,295,71,0,0,0,0,93,56,38,0,3,253,110,0
"Pennsylvania","Fayette",2024,366,269,95,2,0,0,0,101,64,42,0,0,257,109,0
"Pennsylvania","Franklin",2024,327,305,22,0,0,0,0,90,49,35,0,0,327,0,0
"Pennsylvania","Greene",2024,230,196,34,0,0,0,0,87,53,38,0,0,147,83,0
"Pennsylvania","Indiana",2024,357,291,66,0,0,0,0,74,56,37,0,0,189,168,0
"Pennsylvania","Lackawanna",2024,366,265,101,0,0,0,0,97,58,40,0,10,201,155,0
"Pennsylvania","Lancaster",2024,366,189,174,3,0,0,0,125,69,50,0,0,140,226,0
"Pennsylvania","Lawrence",2024,31,31,0,0,0,0,0,31,29,24,0,0,31,0,0
"Pennsylvania","Lebanon",2024,366,242,122,2,0,0,0,108,64,43,0,0,168,198,0
"Pennsylvania","Lehigh",2024,353,267,84,2,0,0,0,119,61,39,0,0,201,152,0
"Pennsylvania","Lycoming",2024,366,281,84,1,0,0,0,122,61,39,0,0,238,128,0
"Pennsylvania","Mercer",2024,366,274,92,0,0,0,0,97,61,40,0,0,256,110,0
"Pennsylvania","Monroe",2024,360,329,30,1,0,0,0,119,49,35,0,0,360,0,0
"Pennsylvania","Montgomery",2024,365,266,98,1,0,0,0,140,61,40,0,0,217,148,0
"Pennsylvania","Northampton",2024,366,278,87,1,0,0,0,105,58,39,0,2,194,170,0
"Pennsylvania","Philadelphia",2024,366,173,183,10,0,0,0,136,77,52,0,11,123,232,0
"Pennsylvania","Somerset",2024,358,323,35,0,0,0,0,90,50,37,0,0,358,0,0
"Pennsylvania","Susquehanna",2024,358,321,37,0,0,0,0,64,51,25,0,0,0,358,0
"Pennsylvania","Tioga",2024,362,316,46,0,0,0,0,84,52,36,0,0,255,107,0
"Pennsylvania","Washington",2024,366,224,141,1,0,0,0,105,69,44,0,0,225,141,0
"Pennsylvania","Westmoreland",2024,363,278,85,0,0,0,0,88,56,39,0,0,176,187,0
"Pennsylvania","Wyoming",2024,352,319,33,0,0,0,0,68,50,26,0,0,0,352,0
"Pennsylvania","York",2024,366,240,125,1,0,0,0,101,67,44,0,3,219,144,0
"Puerto Rico","Bayamon",2024,314,268,45,1,0,0,0,124,54,27,29,0,34,251,0
"Puerto Rico","Caguas",2024,357,343,13,0,1,0,0,174,33,3,250,0,0,107,0
"Puerto Rico","Catano",2024,339,168,130,30,11,0,0,162,111,51,0,0,0,296,43
"Puerto Rico","Fajardo",2024,106,88,18,0,0,0,0,84,56,28,0,0,0,100,6
"Puerto Rico","Guayama",2024,52,51,1,0,0,0,0,53,29,15,0,0,0,0,52
"Puerto Rico","Guaynabo",2024,115,91,24,0,0,0,0,81,56,31,0,0,0,109,6
"Puerto Rico","Mayagnez",2024,341,341,0,0,0,0,0,39,26,11,0,0,226,115,0
"Puerto Rico","Ponce",2024,336,317,19,0,0,0,0,82,38,3,223,0,0,101,12
"Rhode Island","Kent",2024,357,332,25,0,0,0,0,97,47,31,0,0,176,181,0
"Rhode Island","Providence",2024,366,293,73,0,0,0,0,72,55,38,0,10,68,288,0
"Rhode Island","Washington",2024,358,316,39,3,0,0,0,147,52,35,0,0,197,161,0
"South Carolina","Aiken",2024,267,238,29,0,0,0,0,84,51,39,0,0,267,0,0
"South Carolina","Anderson",2024,255,213,41,1,0,0,0,115,61,43,0,0,255,0,0
"South Carolina","Berkeley",2024,278,255,23,0,0,0,0,90,49,37,0,0,278,0,0
"South Carolina","Charleston",2024,366,269,97,0,0,0,0,77,58,43,0,1,134,231,0
"South Carolina","Chesterfield",2024,364,234,128,2,0,0,0,143,60,44,0,0,138,226,0
"South Carolina","Darlington",2024,261,224,37,0,0,0,0,100,54,40,0,0,261,0,0
"South Carolina","Edgefield",2024,365,231,134,0,0,0,0,98,61,44,0,0,141,224,0
"South Carolina","Florence",2024,359,230,129,0,0,0,0,99,59,44,0,0,0,359,0
"South Carolina","Greenville",2024,363,198,165,0,0,0,0,99,64,48,0,1,140,222,0
"South Carolina","Horry",2024,364,287,77,0,0,0,0,87,55,40,0,0,159,205,0
"South Carolina","Richland",2024,366,210,155,1,0,0,0,141,61,47,0,2,101,263,0
"South Carolina","Spartanburg",2024,363,188,171,4,0,0,0,112,71,49,0,0,138,225,0
"South Carolina","York",2024,363,226,136,1,0,0,0,112,64,46,0,0,156,207,0
"South Dakota","Brookings",2024,366,292,72,2,0,0,0,111,56,36,0,0,178,149,39
"South Dakota","Brown",2024,357,306,47,4,0,0,0,118,54,24,0,0,0,239,118
"South Dakota","Clay",2024,366,289,75,2,0,0,0,137,57,39,0,0,187,179,0
"South Dakota","Codington",2024,361,269,91,1,0,0,0,102,58,37,0,0,82,256,23
"South Dakota","Custer",2024,366,276,81,9,0,0,0,126,64,44,0,0,279,80,7
"South Dakota","Hughes",2024,363,340,23,0,0,0,0,69,34,8,0,0,0,363,0
"South Dakota","Jackson",2024,366,269,90,7,0,0,0,129,67,44,0,0,252,113,1
"South Dakota","Meade",2024,366,266,93,6,1,0,0,154,71,45,0,0,348,0,18
"South Dakota","Minnehaha",2024,365,297,66,2,0,0,0,145,57,34,0,15,208,127,15
"South Dakota","Pennington",2024,366,248,114,4,0,0,0,111,68,36,0,9,0,201,156
"Tennessee","Anderson",2024,243,221,22,0,0,0,0,100,50,41,0,0,243,0,0
"Tennessee","Blount",2024,366,221,145,0,0,0,0,90,61,47,0,0,219,147,0
"Tennessee","Claiborne",2024,350,336,14,0,0,0,0,67,46,36,0,0,350,0,0
"Tennessee","Davidson",2024,366,189,171,6,0,0,0,122,62,50,0,4,107,254,1
"Tennessee","DeKalb",2024,336,312,24,0,0,0,0,77,49,38,0,0,336,0,0
"Tennessee","Dyer",2024,347,286,61,0,0,0,0,92,53,31,0,0,0,347,0
"Tennessee","Hamilton",2024,349,190,156,3,0,0,0,126,63,48,0,0,122,227,0
"Tennessee","Jefferson",2024,244,222,21,1,0,0,0,105,50,40,0,0,244,0,0
"Tennessee","Knox",2024,366,205,160,1,0,0,0,105,64,48,0,0,100,266,0
"Tennessee","Lawrence",2024,360,272,88,0,0,0,0,84,55,38,0,0,0,360,0
"Tennessee","Loudon",2024,366,286,80,0,0,0,0,100,58,42,0,0,172,194,0
"Tennessee","Madison",2024,357,289,68,0,0,0,0,90,54,33,0,0,0,357,0
"Tennessee","Maury",2024,360,297,63,0,0,0,0,83,53,33,0,0,0,360,0
"Tennessee","McMinn",2024,356,281,75,0,0,0,0,89,54,32,0,0,0,356,0
"Tennessee","Montgomery",2024,361,302,59,0,0,0,0,79,52,32,0,0,0,361,0
"Tennessee","Putnam",2024,361,302,59,0,0,0,0,74,53,32,0,0,0,361,0
"Tennessee","Roane",2024,361,285,76,0,0,0,0,72,54,35,0,0,0,361,0
"Tennessee","Sevier",2024,362,289,73,0,0,0,0,93,61,44,0,0,362,0,0
"Tennessee","Shelby",2024,366,126,231,6,3,0,0,159,74,55,0,0,98,268,0
"Tennessee","Sullivan",2024,361,285,76,0,0,0,0,97,57,41,0,0,207,154,0
"Tennessee","Sumner",2024,358,224,130,4,0,0,0,133,61,45,0,0,141,217,0
"Tennessee","Williamson",2024,238,200,38,0,0,0,0,87,54,43,0,0,238,0,0
"Tennessee","Wilson",2024,245,216,29,0,0,0,0,100,51,41,0,0,245,0,0
"Texas","Atascosa",2024,347,198,141,8,0,0,0,116,72,44,0,0,0,347,0
"Texas","Bell",2024,366,226,135,5,0,0,0,129,70,46,0,0,224,142,0
"Texas","Bexar",2024,366,174,170,20,2,0,0,199,87,52,0,3,139,221,3
"Texas","Bowie",2024,360,189,171,0,0,0,0,97,62,49,0,0,0,360,0
"Texas","Brazoria",2024,365,303,56,5,1,0,0,164,60,37,0,4,330,31,0
"Texas","Brazos",2024,353,232,120,1,0,0,0,102,58,39,0,0,0,353,0
"Texas","Brewster",2024,327,231,94,2,0,0,0,112,67,43,0,0,241,86,0
"Texas","Cameron",2024,366,99,206,48,13,0,0,171,124,61,0,0,44,322,0
